20
1,2,2
1,3,13
1,4,15
1,5,6
1,6,19
1,7,5
1,8,15
1,9,1
1,10,7
1,11,12
1,12,19
1,13,7
1,14,6
1,15,14
1,16,5
1,17,16
1,18,18
1,19,6
1,20,20
2,3,15
2,4,7
2,5,18
2,6,11
2,7,20
2,8,16
2,9,19
2,10,4
2,11,1
2,12,12
2,13,2
2,14,20
2,15,9
2,16,20
2,17,14
2,18,16
2,19,10
2,20,15
3,4,14
3,5,18
3,6,20
3,7,2
3,8,17
3,9,17
3,10,6
3,11,12
3,12,13
3,13,18
3,14,20
3,15,5
3,16,20
3,17,18
3,18,16
3,19,3
3,20,10
4,5,16
4,6,18
4,7,9
4,8,6
4,9,14
4,10,14
4,11,19
4,12,18
4,13,12
4,14,14
4,15,9
4,16,7
4,17,10
4,18,17
4,19,8
4,20,3
5,6,6
5,7,20
5,8,20
5,9,7
5,10,4
5,11,8
5,12,9
5,13,15
5,14,16
5,15,16
5,16,14
5,17,4
5,18,11
5,19,13
5,20,16
6,7,15
6,8,12
6,9,12
6,10,16
6,11,6
6,12,7
6,13,17
6,14,10
6,15,17
6,16,11
6,17,2
6,18,12
6,19,1
6,20,9
7,8,13
7,9,6
7,10,14
7,11,9
7,12,18
7,13,4
7,14,20
7,15,5
7,16,1
7,17,14
7,18,14
7,19,10
7,20,12
8,9,13
8,10,9
8,11,2
8,12,6
8,13,6
8,14,11
8,15,7
8,16,13
8,17,16
8,18,7
8,19,7
8,20,13
9,10,1
9,11,15
9,12,20
9,13,20
9,14,14
9,15,5
9,16,11
9,17,13
9,18,20
9,19,4
9,20,8
10,11,3
10,12,17
10,13,11
10,14,8
10,15,11
10,16,11
10,17,1
10,18,16
10,19,5
10,20,11
11,12,5
11,13,14
11,14,6
11,15,20
11,16,12
11,17,1
11,18,19
11,19,14
11,20,11
12,13,16
12,14,20
12,15,19
12,16,11
12,17,19
12,18,16
12,19,4
12,20,8
13,14,14
13,15,20
13,16,5
13,17,12
13,18,11
13,19,9
13,20,11
14,15,7
14,16,7
14,17,15
14,18,8
14,19,1
14,20,11
15,16,18
15,17,7
15,18,7
15,19,5
15,20,4
16,17,8
16,18,1
16,19,18
16,20,3
17,18,12
17,19,7
17,20,4
18,19,19
18,20,7
19,20,16
